"71e178b0-428d-0132-d098-58d385a7bbd0",41579,"Collection of 9 Cyanotype Prints from the Yolo Base Line Survey","","Watkins, Carleton E., 1829-1916 | Davidson, George, 1825-1911 | U.S. Coast and Geodetic Survey","1881",1881,"","","","Bibliography, etc. Note: Palmquist, Peter. ""Carleton E. Watkins: Photographer of the American West"". (Albuquerque: Published for the Amon Carter Museum by the University of New Mexico Press, 1983.","Geodesy--Observations","","Yolo County (Calif.)","","","still image","Photographs","b20155373","","114PH007.001 - 114PH007.009","","","","","","","","","","",4,"http://digitalcollections.nypl.org/collections/71e178b0-428d-0132-d098-58d385a7bbd0"
"8f0be6c0-4297-0132-fdd6-58d385a7bbd0",41580,"Ambrotypes of students of Fort Edward Institute, ca. 1861","","Fort Edward Institute (Fort Edward, N.Y.) -- Students","1861",1861,"","","Portraits of men, including Mr. Landt; James Reynolds, Pine Ridge, N.Y.; Henry J. Prendegast; Albert Warner, Buffalo; John McDonald, Hagersville, P.O., Walpole, Ga.(?); Horace A. Gaylord, Ashford, Conn.; A. S. Spencer (?), Waterbury, Conn.; George G. Green, Clarksboro, New Jersey; John Birl (?), Chazy, N.Y..","Ownership and Custodial History Note: Transferred from Rare Books and Manuscripts Division, 1988; gift of Clarence M. Warner, 1916.","","Fort Edward Institute (Fort Edward, N.Y.) -- Students","","","","still image","Portraits | Ambrotypes. | Ambrotypes-Colored. | Paste papers (Paper). | Photographs","b12032551","","MFY 94-400","","","","","","","12 photographic prints : ambrotypes ; 3 1/4 x 4 in.","","","",6,"http://digitalcollections.nypl.org/collections/8f0be6c0-4297-0132-fdd6-58d385a7bbd0"
"2cab8f80-42a1-0132-470e-58d385a7b928",41581,"Cabinet card views of Mexico","","Jackson, William Henry, 1843-1942 | Cortés, Hernán, 1485-1547 -- Homes and haunts",1883,1883,1891,"","Views of rural, village and town life in Mexico, including woman making tortillas; men and women with goods for sale, including pottery; a sugar mill; man and woman on porch of thatched house, woman with jug on head; children in market, San Luis Potosí; street scene, Cuautle; men and women at tables of veranda of a hotel in Puebla; ground around fountain of San Domingo; Guadalajara street and the penitentiary there; palace at Aguascaliente; men and women by railroad near Rascan; groups in the village of Abra; Mt. Popocatapetl; soldiers and others at Hacienda Peoticlos; group of women doing laundry, other hanging out wash; hats and other goods in portals of a market; flat boat in Canal de la Vica; old bridge at Hercules; soldiers in front of Cortés Palace, Coyoacán; bales of [cotton], Teoloyucan; views in Mexico City: grove of Chapultepec; Cinco de Mayo celebration; man with jugs in Alameda.","Ownership and Custodial History Note: Picture Collection transfer, Picture Collection #10690.","Canals -- Mexico | Children -- Mexico | Cinco de Mayo (Mexican holiday) | Dwellings -- Mexico | Fountains -- Mexico | Government buildings -- Mexico | Hotels -- Mexico -- Puebla | Laborers -- Mexico | Mountains -- Mexico | Parks -- Mexico -- Mexico City | Plazas -- Mexico | Porches -- Mexico | Prison facilities -- Mexico -- Guadalajara | Railroads -- Mexico | Streets -- Mexico | Sugar industry -- Mexico | Thatched buildings -- Mexico","Cortés, Hernán, 1485-1547 -- Homes and haunts","Chapultepec (Mexico City, Mexico) | Coyoacán (Mexico) | Cuautla Morelos (Mexico) | Mexico City (Mexico) | San Luis Potosí (Mexico) | Teoloyucan (Mexico)","","","still image","Albumen prints | Cabinet photographs | Photographic prints","b11755737","","MFZ (Jackson) 93-6256","","","","","","","33 photographic prints : albumen, b&w ; 11 x 18 cm. or smaller on mounts 12.5 x 20.3 cm or smaller.","","W. H. Jackson & Co.","Denver, Col",4,"http://digitalcollections.nypl.org/collections/2cab8f80-42a1-0132-470e-58d385a7b928"
"dc7f3a20-435b-0132-9f6c-58d385a7b928",41582,"Simeon A. Stearns papers","","Stearns, Simeon A. (Simeon Albert) | Stearns, Daniel B. (Daniel Bailey) b. 1818 | Wilkes, Charles, 1798-1877 | Vincennes (Sloop of war) | United States. Navy -- Officers | United States Exploring Expedition (1838-1842)",1834,1834,1842,"English","Simeon A. Stearns (b. 1815) was a U.S. Marine quartermaster sergeant on board the U.S.S. Vincennes, the flagship of the United States Exploring Expedition (1838-1842) which circumnavigated the world under the command of Lieutenant Charles Wilkes of the U.S. Navy. The Simeon A. Stearns papers consists of one volume containing his journal of the Expedition, 1839-1841, with related writings, 1838-1840. Also present are three letters, one to Simeon A. Stearns dated 1842, and two to his brother Daniel B. Stearns, dated 1834 and 1837. The journal covers voyages in the Pacific Ocean from Polynesia to Sydney, Australia and Antarctica, and then to Tonga and the Fiji Islands via Sydney and New Zealand, 1839-1840. Entries for 1841 concern a land expedition from Fort Nisqually on Puget Sound in Oregon.\n\nStearns’ journal (p. 1-195) begins 1839 August 13 on board the Vincennes in the Tuamotu Archipelago of the South Pacific Ocean, continuing to Tahiti in the Society Islands and then to the Samoan Islands. His sparse entries for a voyage to Antarctica, leaving Sydney 1839 December 26 and returning there 1840 March 10, conclude with a brief account of the voyage (p. 44-45). The Expedition then proceeds to New Zealand, Tonga and the Fiji Islands. Stearns’ account of these voyages ends on 1840 September 5 (p. 153), as the Vincennes sails for Oahu, Hawaii.\n\nJournal entries describe the ship’s present location and weather, general events and the location and activities of other Expedition ships, and encounters with Pacific islanders, European and American settlers, and others. There is mention of landings, provisioning and specimen collecting. Stearns describes his land expedition with members of the Scientific Corps in the attempt to reach Mount Orohena on Tahiti (1839 September 12-18), and the reprisal against the people of Malolo in the Fiji Islands for the deaths of two naval officers (beginning 1840 August 1). In addition to chronological entries for Tahiti and the Fiji Islands, there are extensive notes on their people and customs (Tahiti: p. 127-148; Fiji Islands: p. 52-63, 107, 154-195). Stearns also mentions his readings; describes his work on his shell collection, which he had to relinquish to the Expedition (1840 August); and writes down his thoughts on the nature of civilization with respect to the island societies they encounter. There is little discussion of shipmates or ship matters on board the Vincennes, although he mentions a disciplinary problem with an unnamed Marine (1840 August 14). A few random thoughts are written in Spanish.\n\nRelated writings beginning from the reverse side of the volume consist of a table listing the dated landfalls of the Vincennes for 1838-1840 (“Abstract of a Cruise….”) and a list of officers attached to the Expedition, 1840 April, followed by brief journal entries for 1841 May 17-22 describing an expedition on land out of Fort Nisqually on Puget Sound in Oregon. The rough start of a poem and a list of American poets are also included.\n\nThe collection also contains three letters. One from J.G. Brown to Simeon A. Stearns at Providence, Rhode Island, dated 1842 August 11, asks to meet Stearns so that he can deliver letters from the Navy Department and discuss an important matter “respecting the Ex.Ex. as connected with Captain Wilkes.” Brown was a member of the Expedition’s Scientific Corps. Two letters are addressed to Stearns’ brother Daniel B. Stearns in New Hampshire, both from Winchendon, Massachusetts: one a jocular letter from his friend Russell Brown regarding mutual friends and work at a textile mill, dated 1834; and one from Stearns’ father asking him to write home, dated 1837.","Source of Acquisition Note: MSS 64M15","Scientific expeditions | Voyages around the world | Seafaring life | Oregon | Discovery and exploration","Stearns, Simeon A. (Simeon Albert) | Wilkes, Charles, 1798-1877 | Vincennes (Sloop of war) | United States. Navy -- Officers | United States Exploring Expedition (1838-1842)","Antarctica | Discovery and exploration | Oceania","","","mixed material","Diaries | Correspondence","b12388196","","MssCol 2866","","","","","","","","","","",2,"http://digitalcollections.nypl.org/collections/dc7f3a20-435b-0132-9f6c-58d385a7b928"
"366ae180-45ac-0132-f41b-58d385a7b928",41585,"Peruvian portraits","","Salcedo-Mitrani, Lorry",1860,1860,1899,"","","Ownership and Custodial History Note: Collected by Salcedo-Mitrani, Lorry, 1947-","","","","","","","Photographs | Portraits","","","105PH003.001-105PH003.018","","","","","","","","Albumen prints","","",4,"http://digitalcollections.nypl.org/collections/366ae180-45ac-0132-f41b-58d385a7b928"
"593a25f0-4672-0132-a793-58d385a7b928",41586,"Views of Southern Utah","","Hillers, John K., 1843-1925 | Powell, John Wesley, 1834-1902 | United States Department of the Interior | Geological and Geographical Survey of the Territories (U.S.), 2nd Division.","1875",1875,"","","","","","Hillers, John K., 1843-1925","Utah -- Pictorial works","","","still image","Photographs","b10700208","","MFZ+ (Hilliers) 81-824","","","","","","","13 leaves : all ill. ; 39 cm.","Albumen prints","Dept. of the Interior","Washington, D.C.",2,"http://digitalcollections.nypl.org/collections/593a25f0-4672-0132-a793-58d385a7b928"
"7bcecc10-4684-0132-9421-58d385a7bbd0",41587,"Album de la galerie contemporaine: biographies & portraits","Galerie contemporaine","Carjat, Etienne, 1828-1906 | Tourtin, photographer | Adam-Salomon, Antoine Samuel, 1818-1881 | Nadar, Félix, 1820-1910",1876,1876,1877,"French","","Note: Half t.p. has title: Galerie contemporaine.","","","France -- Biography | France -- Biography -- Portraits","","","still image | text","Portraits","b10738767","","MFY+ 82-692","","","","","","","[48] p., [12] leaves of plates : ill., ports. facsims. ; 35 cm.","Woodburytypes","Revue illustré","Paris",2,"http://digitalcollections.nypl.org/collections/7bcecc10-4684-0132-9421-58d385a7bbd0"
"6445beb0-4690-0132-8044-58d385a7bbd0",41588,"Anthropologisch-ethnologisches Album in Photographien","","Dammann, C.",1873,1873,1874,"","","Biographical or Historical Data Note: Herausgegeben mit Unterstützung aus den Sammlungen der Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte.","","","","","","still image","Photographs | Portraits","","","MFZ+++ (Dammann) 05-3304","","","","","","","","","","",2,"http://digitalcollections.nypl.org/collections/6445beb0-4690-0132-8044-58d385a7bbd0"
"5f9cb9e0-4739-0132-1946-58d385a7bbd0",41590,"Auto-digest register and trade weekly","","","1918",1918,"","English","","Date/Sequential Designation Note: Began with: New ser., v. 4, no. 10 (Mar. 11, 1918).","Automobiles -- United States -- Registers | Automobiles -- Commerce -- United States -- Directories","","","","","text","Registers","b19337585","","3-TOL+ (Automobile digest and register)","","","","","","","v. : ill. ; 30 cm.","","Auto List and Addressing Co.","New York, N.Y",2,"http://digitalcollections.nypl.org/collections/5f9cb9e0-4739-0132-1946-58d385a7bbd0"
"26f35e80-476a-0132-137f-58d385a7b928",41591,"Photographs of the Department of the Interior, U.S. Geological Survey of the territories","","Jackson, William Henry, 1843-1942 | Hayden, F. V. (Ferdinand Vandeveer), 1829-1887 | Geological and Geographical Survey of the Territories (U.S.)",1870,1870,1873,"English","Views from the surveying expeditions led by F. V. Hayden, including mountains, rivers, canyons, lakes, rock formations, the survey's camps and members, including portrait of unidentified man on horseback.","Ownership and Custodial History Note: Picture Collection transfer.","Camping | Canyons | Horses | Lakes & ponds | Mountains | Rivers","Geological and Geographical Survey of the Territories (U.S.)","Gallatin Canyon (Mont.)","","","still image","Photographs","b12555093","","MFZ (Jackson) 93-6257","","","","","","","18 photographic prints : albumen, b&w ; 17 x 21.7 cm or smaller on mounts 24.7 x 28 cm or smaller.","","","Washington, D. C",2,"http://digitalcollections.nypl.org/collections/26f35e80-476a-0132-137f-58d385a7b928"
"15109bb0-4cc4-0132-254c-58d385a7b928",41593,"La photographie appliquée aux recherches micrographiques","","Moitessier, A. (Albert), 1833-1889","1866",1866,"","French","","Statement of Responsibility Note: par A. Moitessier.","Photomicrography","","","","","text | still image","Books","b13729762","","OCG (Moitessier, A. Photographie appliquée aux recherches micrographiques)","","","","","","","333 p., 3 leaves of plates : ill. ; 19 cm.","","J. B. Baillière","Paris",2,"http://digitalcollections.nypl.org/collections/15109bb0-4cc4-0132-254c-58d385a7b928"
"d07a2190-4cd7-0132-909d-58d385a7b928",41594,"An Inquiry into the Nature and Causes of the Wealth of Nations","","Smith, Adam, 1723-1790 | Strahan, William, 1715-1785 | Cadell, T. (Thomas), 1742-1802","1776",1776,"","English","","","Economics","","","","","text","","b13621342","","Pforz+ (Smith, A. Inquiry into the nature and causes of the wealth of nations)","","","","","","","2 volumes ; 29 cm (4to)","","W. Strahan; and T. Cadell","London",1,"http://digitalcollections.nypl.org/collections/d07a2190-4cd7-0132-909d-58d385a7b928"
"235092a0-4daf-0132-b980-58d385a7b928",41597,"United States Army Medical Museum Composite Photographs of Crania","United States Army Medical Museum Composite Photographs of Crania","Army Medical Museum (U.S.) | Billings, John S. (John Shaw), 1838-1913",1885,1885,1887,"","","Source of Acquisition Note: Presented to NYPL by Dr. J. S. Billings","Craniometry | Photography of skulls","","","","","still image","Photographs","b14207981","","QOS++ (United States. Army Medical Museum. Composite photographs of crania in the Army Medical Museum)","","","","","","","109 photographs","","","",4,"http://digitalcollections.nypl.org/collections/235092a0-4daf-0132-b980-58d385a7b928"
